filename,time_sec,peak_mem_kb,result
uf20-0616.cnf,0.0021,0,SAT
uf20-0617.cnf,0.0017,0,SAT
uf20-0618.cnf,0.0088,0,SAT
uf20-0619.cnf,0.0018,0,SAT
uf20-062.cnf,0.0026,0,SAT
uf20-0620.cnf,0.0012,0,SAT
uf20-0621.cnf,0.0057,0,SAT
uf20-0622.cnf,0.0077,0,SAT
uf20-0623.cnf,0.0065,0,SAT
uf20-0624.cnf,0.0027,0,SAT
uf20-0625.cnf,0.0115,0,SAT
uf20-0626.cnf,0.0057,0,SAT
uf20-0627.cnf,0.0010,0,SAT
uf20-0628.cnf,0.0008,0,SAT
uf20-0629.cnf,0.0011,0,SAT
uf20-063.cnf,0.0105,0,SAT
uf20-0630.cnf,0.0494,0,SAT
uf20-0631.cnf,0.0049,0,SAT
uf20-0632.cnf,0.0012,0,SAT
uf20-0633.cnf,0.0037,0,SAT
uf20-0634.cnf,0.0015,0,SAT
uf20-0635.cnf,0.0072,0,SAT
uf20-0636.cnf,0.0076,0,SAT
uf20-0637.cnf,0.0022,0,SAT
uf20-0638.cnf,0.0056,0,SAT
uf20-0639.cnf,0.0087,0,SAT
uf20-064.cnf,0.0022,0,SAT
uf20-0640.cnf,0.0162,0,SAT
uf20-0641.cnf,0.0189,0,SAT
uf20-0642.cnf,0.0013,0,SAT
uf20-0643.cnf,0.0022,0,SAT
uf20-0644.cnf,0.0014,0,SAT
uf20-0645.cnf,0.0028,0,SAT
uf20-0646.cnf,0.0081,0,SAT
uf20-0647.cnf,0.0029,0,SAT
uf20-0648.cnf,0.0070,0,SAT
uf20-0649.cnf,0.0037,0,SAT
uf20-065.cnf,0.0034,0,SAT
uf20-0650.cnf,0.0037,0,SAT
uf20-0651.cnf,0.0013,0,SAT
uf20-0652.cnf,0.0405,0,SAT
uf20-0653.cnf,0.0010,0,SAT
uf20-0654.cnf,0.0260,0,SAT
uf20-0655.cnf,0.0022,0,SAT
uf20-0656.cnf,0.0083,0,SAT
uf20-0657.cnf,0.0027,0,SAT
uf20-0658.cnf,0.0017,0,SAT
uf20-0659.cnf,0.0012,0,SAT
uf20-066.cnf,0.0072,0,SAT
uf20-0660.cnf,0.0055,0,SAT
uf20-0661.cnf,0.0012,0,SAT
